units,year,variable,model,experiment,ensemble,global_value
kg/yr,1998,rh,CESM2,historical,r10i1p1f1,1.36759E+14
kg/yr,1999,rh,CESM2,historical,r10i1p1f1,4.89806E+14
kg/yr,2000,rh,CESM2,historical,r10i1p1f1,4.91903E+14
kg/yr,2001,rh,CESM2,historical,r10i1p1f1,4.9726E+14
kg/yr,2002,rh,CESM2,historical,r10i1p1f1,4.94703E+14
kg/yr,2003,rh,CESM2,historical,r10i1p1f1,4.92943E+14
kg/yr,2004,rh,CESM2,historical,r10i1p1f1,4.93534E+14
kg/yr,2005,rh,CESM2,historical,r10i1p1f1,5.01062E+14
kg/yr,2006,rh,CESM2,historical,r10i1p1f1,4.99573E+14
kg/yr,2007,rh,CESM2,historical,r10i1p1f1,5.05076E+14
kg/yr,2008,rh,CESM2,historical,r10i1p1f1,4.95641E+14
kg/yr,2009,rh,CESM2,historical,r10i1p1f1,4.99104E+14
kg/yr,2010,rh,CESM2,historical,r10i1p1f1,5.14647E+14
kg/yr,2011,rh,CESM2,historical,r10i1p1f1,5.01059E+14
kg/yr,2012,rh,CESM2,historical,r10i1p1f1,5.09577E+14
kg/yr,2013,rh,CESM2,historical,r10i1p1f1,3.65983E+14
kg/yr,1848,rh,CESM2,historical,r1i1p1f1,8.57427E+13
kg/yr,1849,rh,CESM2,historical,r1i1p1f1,4.42587E+14
kg/yr,1850,rh,CESM2,historical,r1i1p1f1,4.49016E+14
kg/yr,1851,rh,CESM2,historical,r1i1p1f1,4.4611E+14
kg/yr,1852,rh,CESM2,historical,r1i1p1f1,4.39228E+14
kg/yr,1853,rh,CESM2,historical,r1i1p1f1,4.47139E+14
kg/yr,1854,rh,CESM2,historical,r1i1p1f1,4.47156E+14
kg/yr,1855,rh,CESM2,historical,r1i1p1f1,4.43663E+14
kg/yr,1856,rh,CESM2,historical,r1i1p1f1,4.43354E+14
kg/yr,1857,rh,CESM2,historical,r1i1p1f1,4.43245E+14
kg/yr,1858,rh,CESM2,historical,r1i1p1f1,4.41602E+14
kg/yr,1859,rh,CESM2,historical,r1i1p1f1,4.54494E+14
kg/yr,1860,rh,CESM2,historical,r1i1p1f1,4.40634E+14
kg/yr,1861,rh,CESM2,historical,r1i1p1f1,4.36897E+14
kg/yr,1862,rh,CESM2,historical,r1i1p1f1,4.40538E+14
kg/yr,1863,rh,CESM2,historical,r1i1p1f1,4.40218E+14
kg/yr,1864,rh,CESM2,historical,r1i1p1f1,4.39557E+14
kg/yr,1865,rh,CESM2,historical,r1i1p1f1,4.47799E+14
kg/yr,1866,rh,CESM2,historical,r1i1p1f1,4.42191E+14
kg/yr,1867,rh,CESM2,historical,r1i1p1f1,4.39861E+14
kg/yr,1868,rh,CESM2,historical,r1i1p1f1,4.36233E+14
kg/yr,1869,rh,CESM2,historical,r1i1p1f1,4.48918E+14
kg/yr,1870,rh,CESM2,historical,r1i1p1f1,4.41279E+14
kg/yr,1871,rh,CESM2,historical,r1i1p1f1,4.40614E+14
kg/yr,1872,rh,CESM2,historical,r1i1p1f1,4.54406E+14
kg/yr,1873,rh,CESM2,historical,r1i1p1f1,4.46691E+14
kg/yr,1874,rh,CESM2,historical,r1i1p1f1,4.44561E+14
kg/yr,1875,rh,CESM2,historical,r1i1p1f1,4.45367E+14
kg/yr,1876,rh,CESM2,historical,r1i1p1f1,4.50408E+14
kg/yr,1877,rh,CESM2,historical,r1i1p1f1,4.56729E+14
kg/yr,1878,rh,CESM2,historical,r1i1p1f1,4.44429E+14
kg/yr,1879,rh,CESM2,historical,r1i1p1f1,4.39121E+14
kg/yr,1880,rh,CESM2,historical,r1i1p1f1,4.50318E+14
kg/yr,1881,rh,CESM2,historical,r1i1p1f1,4.40871E+14
kg/yr,1882,rh,CESM2,historical,r1i1p1f1,4.3852E+14
kg/yr,1883,rh,CESM2,historical,r1i1p1f1,4.39703E+14
kg/yr,1884,rh,CESM2,historical,r1i1p1f1,4.48907E+14
kg/yr,1885,rh,CESM2,historical,r1i1p1f1,4.4525E+14
kg/yr,1886,rh,CESM2,historical,r1i1p1f1,4.41937E+14
kg/yr,1887,rh,CESM2,historical,r1i1p1f1,4.45785E+14
kg/yr,1888,rh,CESM2,historical,r1i1p1f1,4.48881E+14
kg/yr,1889,rh,CESM2,historical,r1i1p1f1,4.42545E+14
kg/yr,1890,rh,CESM2,historical,r1i1p1f1,4.44723E+14
kg/yr,1891,rh,CESM2,historical,r1i1p1f1,4.44466E+14
kg/yr,1892,rh,CESM2,historical,r1i1p1f1,4.49389E+14
kg/yr,1893,rh,CESM2,historical,r1i1p1f1,4.44657E+14
kg/yr,1894,rh,CESM2,historical,r1i1p1f1,4.50193E+14
kg/yr,1895,rh,CESM2,historical,r1i1p1f1,4.46974E+14
kg/yr,1896,rh,CESM2,historical,r1i1p1f1,4.50693E+14
kg/yr,1897,rh,CESM2,historical,r1i1p1f1,4.50072E+14
kg/yr,1898,rh,CESM2,historical,r1i1p1f1,4.51597E+14
kg/yr,1899,rh,CESM2,historical,r1i1p1f1,4.43297E+14
kg/yr,1900,rh,CESM2,historical,r1i1p1f1,4.45178E+14
kg/yr,1901,rh,CESM2,historical,r1i1p1f1,4.44462E+14
kg/yr,1902,rh,CESM2,historical,r1i1p1f1,4.36891E+14
kg/yr,1903,rh,CESM2,historical,r1i1p1f1,4.48511E+14
kg/yr,1904,rh,CESM2,historical,r1i1p1f1,4.50003E+14
kg/yr,1905,rh,CESM2,historical,r1i1p1f1,4.4436E+14
kg/yr,1906,rh,CESM2,historical,r1i1p1f1,4.38111E+14
