"variable","model","experiment","coords","value","units"
"rh","CESM2","historical",-90,0,"%"
"rh","CESM2","historical",-85,0,"%"
"rh","CESM2","historical",-80,0,"%"
"rh","CESM2","historical",-75,1.94708589632767e-07,"%"
"rh","CESM2","historical",-70,2.13884509476313e-06,"%"
"rh","CESM2","historical",-65,6.32855987144268e-05,"%"
"rh","CESM2","historical",-60,0.00687997331389542,"%"
"rh","CESM2","historical",-55,0.14727003863414,"%"
"rh","CESM2","historical",-50,0.186107204999487,"%"
"rh","CESM2","historical",-45,0.607565822430888,"%"
"rh","CESM2","historical",-40,1.0441704462907,"%"
"rh","CESM2","historical",-35,1.97576947767832,"%"
"rh","CESM2","historical",-30,2.65320205805947,"%"
"rh","CESM2","historical",-25,3.25076950422996,"%"
"rh","CESM2","historical",-20,2.61226619011531,"%"
"rh","CESM2","historical",-15,3.91260586936729,"%"
"rh","CESM2","historical",-10,8.4389835773829,"%"
"rh","CESM2","historical",-5,10.293697043673,"%"
"rh","CESM2","historical",0,8.79924469744469,"%"
"rh","CESM2","historical",5,6.7466355293311,"%"
"rh","CESM2","historical",10,2.81198698962966,"%"
"rh","CESM2","historical",15,2.55170975546224,"%"
"rh","CESM2","historical",20,3.34916758873469,"%"
"rh","CESM2","historical",25,3.27410641397433,"%"
"rh","CESM2","historical",30,4.7121377885702,"%"
"rh","CESM2","historical",35,4.63974927114197,"%"
"rh","CESM2","historical",40,4.75169806280556,"%"
"rh","CESM2","historical",45,4.33635233973779,"%"
"rh","CESM2","historical",50,5.43763084686387,"%"
"rh","CESM2","historical",55,5.81376494615555,"%"
"rh","CESM2","historical",60,4.2081844540719,"%"
"rh","CESM2","historical",65,2.99625867329396,"%"
"rh","CESM2","historical",70,0.438460066919657,"%"
"rh","CESM2","historical",75,0.00292701544808534,"%"
"rh","CESM2","historical",80,0.000632735086959568,"%"
"rh","CESM2","historical",-90,0,"%"
"rh","CESM2","historical",-85,0,"%"
"rh","CESM2","historical",-80,0,"%"
"rh","CESM2","historical",-75,8.87483494992374e-08,"%"
"rh","CESM2","historical",-70,3.91382348233238e-06,"%"
"rh","CESM2","historical",-65,5.26314808785775e-05,"%"
"rh","CESM2","historical",-60,0.00690844341888673,"%"
"rh","CESM2","historical",-55,0.145298974141082,"%"
"rh","CESM2","historical",-50,0.184526660841235,"%"
"rh","CESM2","historical",-45,0.585131311174774,"%"
"rh","CESM2","historical",-40,1.0124665579776,"%"
"rh","CESM2","historical",-35,1.87158377614252,"%"
"rh","CESM2","historical",-30,2.56448193822108,"%"
"rh","CESM2","historical",-25,3.23841396697693,"%"
"rh","CESM2","historical",-20,2.69012150816525,"%"
"rh","CESM2","historical",-15,3.98029672422177,"%"
"rh","CESM2","historical",-10,8.58538218639286,"%"
"rh","CESM2","historical",-5,10.441110898771,"%"
"rh","CESM2","historical",0,8.79783383295096,"%"
"rh","CESM2","historical",5,6.69398809447873,"%"
"rh","CESM2","historical",10,2.7869071495541,"%"
"rh","CESM2","historical",15,2.56801345620448,"%"
"rh","CESM2","historical",20,3.3287381129589,"%"
"rh","CESM2","historical",25,3.22538901357841,"%"
"rh","CESM2","historical",30,4.65057647737643,"%"
"rh","CESM2","historical",35,4.56034704939609,"%"
"rh","CESM2","historical",40,4.63696057701912,"%"
"rh","CESM2","historical",45,4.32231029021529,"%"
"rh","CESM2","historical",50,5.57183336093359,"%"
"rh","CESM2","historical",55,5.85393755283837,"%"
"rh","CESM2","historical",60,4.20980180140209,"%"
"rh","CESM2","historical",65,3.03404085019425,"%"
"rh","CESM2","historical",70,0.450835270213044,"%"
"rh","CESM2","historical",75,0.00216296514257874,"%"
"rh","CESM2","historical",80,0.00054456504583136,"%"
"rh","CESM2","historical",-90,0,"%"
"rh","CESM2","historical",-85,0,"%"
"rh","CESM2","historical",-80,0,"%"
"rh","CESM2","historical",-75,2.47846773343441e-07,"%"
"rh","CESM2","historical",-70,1.73015184043187e-06,"%"
"rh","CESM2","historical",-65,6.24604482896212e-05,"%"
"rh","CESM2","historical",-60,0.00693949562448473,"%"
"rh","CESM2","historical",-55,0.144742891245752,"%"
"rh","CESM2","historical",-50,0.182281496091089,"%"
"rh","CESM2","historical",-45,0.627602709666967,"%"
"rh","CESM2","historical",-40,1.07327536089055,"%"
"rh","CESM2","historical",-35,1.91740279144884,"%"
"rh","CESM2","historical",-30,2.68891584839863,"%"
"rh","CESM2","historical",-25,3.33642703153249,"%"
"rh","CESM2","historical",-20,2.67928372058517,"%"
"rh","CESM2","historical",-15,3.90088261169012,"%"
"rh","CESM2","historical",-10,8.3694716059278,"%"
"rh","CESM2","historical",-5,10.3140230861933,"%"
"rh","CESM2","historical",0,8.76373225252686,"%"
"rh","CESM2","historical",5,6.79264451674179,"%"
"rh","CESM2","historical",10,2.79738805837644,"%"
"rh","CESM2","historical",15,2.51102634908407,"%"
"rh","CESM2","historical",20,3.25777033616955,"%"
"rh","CESM2","historical",25,3.21072351339966,"%"
"rh","CESM2","historical",30,4.69976820125793,"%"
"rh","CESM2","historical",35,4.59426476102996,"%"
"rh","CESM2","historical",40,4.66294085128841,"%"
"rh","CESM2","historical",45,4.41172277595557,"%"
"rh","CESM2","historical",50,5.5336959333209,"%"
"rh","CESM2","historical",55,5.85488056829912,"%"
"rh","CESM2","historical",60,4.25436920305374,"%"
"rh","CESM2","historical",65,2.9787273340979,"%"
"rh","CESM2","historical",70,0.431836338753566,"%"
"rh","CESM2","historical",75,0.00268782521091181,"%"
"rh","CESM2","historical",80,0.000508093691560206,"%"
"rh","CESM2","historical",-90,0,"%"
"rh","CESM2","historical",-85,0,"%"
"rh","CESM2","historical",-80,0,"%"
