"year","variable","experiment","ensemble","model","units","value"
1980,"gpp","historical","r10i1p1f1","CESM2","g yr-1",103879968016926928
1980,"gpp","historical","r10i1p1f1","INM-CM5-0","g yr-1",153619479168115264
1980,"gpp","historical","r10i1p1f1","IPSL-CM6A-LR","g yr-1",114496954371422064
1980,"gpp","historical","r10i1p1f1","MPI-ESM1-2-LR","g yr-1",131646470821464352
1980,"gpp","historical","r10i1p1f1","NorCPM1","g yr-1",84453059432708000
1980,"gpp","historical","r10i1p1f2","CNRM-CM6-1","g yr-1",117404046096434096
1980,"gpp","historical","r10i1p1f2","CNRM-ESM2-1","g yr-1",99868744797384928
1980,"gpp","historical","r11i1p1f1","CESM2","g yr-1",107003016617596928
1980,"gpp","historical","r11i1p1f1","IPSL-CM6A-LR","g yr-1",111668464536330576
1980,"gpp","historical","r11i1p1f1","NorCPM1","g yr-1",85911786624066240
1980,"gpp","historical","r11i1p1f2","CNRM-CM6-1","g yr-1",117169882969302496
1980,"gpp","historical","r12i1p1f1","IPSL-CM6A-LR","g yr-1",110827795421043632
1980,"gpp","historical","r12i1p1f1","NorCPM1","g yr-1",85483789103290816
1980,"gpp","historical","r12i1p1f2","CNRM-CM6-1","g yr-1",119328573318896240
1980,"gpp","historical","r13i1p1f1","IPSL-CM6A-LR","g yr-1",114939999689196144
1980,"gpp","historical","r13i1p1f1","NorCPM1","g yr-1",82824969993112000
1980,"gpp","historical","r13i1p1f2","CNRM-CM6-1","g yr-1",121725194118020816
1980,"gpp","historical","r14i1p1f1","IPSL-CM6A-LR","g yr-1",112930473774939456
1980,"gpp","historical","r14i1p1f1","NorCPM1","g yr-1",86414572557924288
1980,"gpp","historical","r14i1p1f2","CNRM-CM6-1","g yr-1",119827365909855440
1980,"gpp","historical","r15i1p1f1","IPSL-CM6A-LR","g yr-1",113007326273984192
1980,"gpp","historical","r15i1p1f1","NorCPM1","g yr-1",83578870090819792
1980,"gpp","historical","r15i1p1f2","CNRM-CM6-1","g yr-1",119075138177320720
1980,"gpp","historical","r16i1p1f1","IPSL-CM6A-LR","g yr-1",114441997733199472
1980,"gpp","historical","r16i1p1f1","NorCPM1","g yr-1",86683492659869568
1980,"gpp","historical","r16i1p1f2","CNRM-CM6-1","g yr-1",120491849980824496
1980,"gpp","historical","r17i1p1f1","IPSL-CM6A-LR","g yr-1",111744000835607328
1980,"gpp","historical","r17i1p1f1","NorCPM1","g yr-1",83620600771161888
1980,"gpp","historical","r17i1p1f2","CNRM-CM6-1","g yr-1",120938738197461728
1980,"gpp","historical","r18i1p1f1","IPSL-CM6A-LR","g yr-1",115370033974550720
1980,"gpp","historical","r18i1p1f1","NorCPM1","g yr-1",84945663471466032
1980,"gpp","historical","r18i1p1f2","CNRM-CM6-1","g yr-1",119340838562740192
1980,"gpp","historical","r19i1p1f1","IPSL-CM6A-LR","g yr-1",116823680356581424
1980,"gpp","historical","r19i1p1f1","NorCPM1","g yr-1",83481258105915936
1980,"gpp","historical","r19i1p1f2","CNRM-CM6-1","g yr-1",116874992893788704
1980,"gpp","historical","r1i1p1f1","ACCESS-ESM1-5","g yr-1",138436112394984608
1980,"gpp","historical","r1i1p1f1","CESM2","g yr-1",105243067843234880
1980,"gpp","historical","r1i1p1f1","CESM2-WACCM","g yr-1",102371577192402800
1980,"gpp","historical","r1i1p1f1","INM-CM4-8","g yr-1",142315348936971376
1980,"gpp","historical","r1i1p1f1","INM-CM5-0","g yr-1",151465123609005760
1980,"gpp","historical","r1i1p1f1","IPSL-CM6A-LR","g yr-1",112811761048874288
1980,"gpp","historical","r1i1p1f1","MPI-ESM-1-2-HAM","g yr-1",139901627450312064
1980,"gpp","historical","r1i1p1f1","MPI-ESM1-2-LR","g yr-1",135272464355411728
1980,"gpp","historical","r1i1p1f1","NorCPM1","g yr-1",85079495682675440
1980,"gpp","historical","r1i1p1f1","NorESM2-LM","g yr-1",103821585259493584
1980,"gpp","historical","r1i1p1f1","NorESM2-MM","g yr-1",102671936993998128
1980,"gpp","historical","r1i1p1f1","SAM0-UNICON","g yr-1",130376305638350592
1980,"gpp","historical","r1i1p1f2","CNRM-CM6-1","g yr-1",119000510562666704
1980,"gpp","historical","r1i1p1f2","CNRM-CM6-1-HR","g yr-1",117664878006301856
1980,"gpp","historical","r1i2p1f1","MRI-ESM2-0","g yr-1",183446023303997568
1980,"gpp","historical","r20i1p1f1","IPSL-CM6A-LR","g yr-1",114122621859360432
1980,"gpp","historical","r20i1p1f1","NorCPM1","g yr-1",83727715266881168
1980,"gpp","historical","r20i1p1f2","CNRM-CM6-1","g yr-1",119471274822781408
1980,"gpp","historical","r21i1p1f1","IPSL-CM6A-LR","g yr-1",110910265596162464
1980,"gpp","historical","r21i1p1f1","NorCPM1","g yr-1",83262004775339760
1980,"gpp","historical","r21i1p1f2","CNRM-CM6-1","g yr-1",120697451637759888
1980,"gpp","historical","r22i1p1f1","IPSL-CM6A-LR","g yr-1",113919645911528192
1980,"gpp","historical","r22i1p1f1","NorCPM1","g yr-1",84951183132887008
1980,"gpp","historical","r22i1p1f2","CNRM-CM6-1","g yr-1",122349261240244512
1980,"gpp","historical","r23i1p1f1","IPSL-CM6A-LR","g yr-1",109842598220670464
1980,"gpp","historical","r23i1p1f1","NorCPM1","g yr-1",85423601537235312
1980,"gpp","historical","r23i1p1f2","CNRM-CM6-1","g yr-1",118382490244720800
1980,"gpp","historical","r24i1p1f1","IPSL-CM6A-LR","g yr-1",115111915011550208
1980,"gpp","historical","r24i1p1f1","NorCPM1","g yr-1",84585401058322720
1980,"gpp","historical","r24i1p1f2","CNRM-CM6-1","g yr-1",117705571088239024
1980,"gpp","historical","r25i1p1f1","IPSL-CM6A-LR","g yr-1",111584949786801088
1980,"gpp","historical","r25i1p1f1","NorCPM1","g yr-1",86722874886779888
1980,"gpp","historical","r25i1p1f2","CNRM-CM6-1","g yr-1",122353632725254608
1980,"gpp","historical","r26i1p1f1","IPSL-CM6A-LR","g yr-1",113183304081880080
1980,"gpp","historical","r26i1p1f1","NorCPM1","g yr-1",85000558034111376
1980,"gpp","historical","r26i1p1f2","CNRM-CM6-1","g yr-1",119754623990075392
1980,"gpp","historical","r27i1p1f1","IPSL-CM6A-LR","g yr-1",112486862764109856
1980,"gpp","historical","r27i1p1f1","NorCPM1","g yr-1",85118885936180800
1980,"gpp","historical","r27i1p1f2","CNRM-CM6-1","g yr-1",118942146271628896
1980,"gpp","historical","r28i1p1f1","IPSL-CM6A-LR","g yr-1",115545704896119552
1980,"gpp","historical","r28i1p1f1","NorCPM1","g yr-1",83550042167482432
1980,"gpp","historical","r28i1p1f2","CNRM-CM6-1","g yr-1",119676935677931872
1980,"gpp","historical","r29i1p1f1","IPSL-CM6A-LR","g yr-1",115327985515826672
1980,"gpp","historical","r29i1p1f1","NorCPM1","g yr-1",84534958278231120
1980,"gpp","historical","r29i1p1f2","CNRM-CM6-1","g yr-1",120871403723353664
1980,"gpp","historical","r2i1p1f1","ACCESS-ESM1-5","g yr-1",142423301219986144
1980,"gpp","historical","r2i1p1f1","CESM2","g yr-1",104685498627244240
1980,"gpp","historical","r2i1p1f1","CESM2-WACCM","g yr-1",106631474836567616
1980,"gpp","historical","r2i1p1f1","INM-CM5-0","g yr-1",151626386286595392
1980,"gpp","historical","r2i1p1f1","IPSL-CM6A-LR","g yr-1",115767609579598080
1980,"gpp","historical","r2i1p1f1","MPI-ESM-1-2-HAM","g yr-1",139947164353924128
1980,"gpp","historical","r2i1p1f1","MPI-ESM1-2-LR","g yr-1",137564095482012976
1980,"gpp","historical","r2i1p1f1","NorCPM1","g yr-1",84129839746753056
1980,"gpp","historical","r2i1p1f1","NorESM2-LM","g yr-1",102899096763940864
1980,"gpp","historical","r2i1p1f2","CNRM-CM6-1","g yr-1",119527388698988336
1980,"gpp","historical","r2i1p1f2","CNRM-ESM2-1","g yr-1",100729431247098624
1980,"gpp","historical","r30i1p1f1","IPSL-CM6A-LR","g yr-1",113972608391360240
1980,"gpp","historical","r30i1p1f1","NorCPM1","g yr-1",83364572826460880
1980,"gpp","historical","r30i1p1f2","CNRM-CM6-1","g yr-1",117898664195665232
1980,"gpp","historical","r31i1p1f1","IPSL-CM6A-LR","g yr-1",112629067768008048
1980,"gpp","historical","r32i1p1f1","IPSL-CM6A-LR","g yr-1",116961313094156192
1980,"gpp","historical","r3i1p1f1","ACCESS-ESM1-5","g yr-1",135599216406906288
1980,"gpp","historical","r3i1p1f1","CESM2","g yr-1",108520330258629456
1980,"gpp","historical","r3i1p1f1","CESM2-WACCM","g yr-1",106036291273249920
1980,"gpp","historical","r3i1p1f1","INM-CM5-0","g yr-1",154261293558691360
1980,"gpp","historical","r3i1p1f1","IPSL-CM6A-LR","g yr-1",111088609499336656
1980,"gpp","historical","r3i1p1f1","MPI-ESM1-2-LR","g yr-1",135068756125447744
1980,"gpp","historical","r3i1p1f1","NorCPM1","g yr-1",82751151804495232
1980,"gpp","historical","r3i1p1f1","NorESM2-LM","g yr-1",106097947636029792
1980,"gpp","historical","r3i1p1f2","CNRM-CM6-1","g yr-1",118638723267917760
1980,"gpp","historical","r3i1p1f2","CNRM-ESM2-1","g yr-1",100589373743634768
1980,"gpp","historical","r4i1p1f1","CESM2","g yr-1",108127777478140064
1980,"gpp","historical","r4i1p1f1","INM-CM5-0","g yr-1",154261293558691360
1980,"gpp","historical","r4i1p1f1","IPSL-CM6A-LR","g yr-1",115190957020583456
1980,"gpp","historical","r4i1p1f1","MPI-ESM1-2-LR","g yr-1",133906845760225232
1980,"gpp","historical","r4i1p1f1","NorCPM1","g yr-1",86275416976519312
1980,"gpp","historical","r4i1p1f2","CNRM-CM6-1","g yr-1",120452521518453776
1980,"gpp","historical","r4i1p1f2","CNRM-ESM2-1","g yr-1",100982757110999408
1980,"gpp","historical","r5i1p1f1","CESM2","g yr-1",105597747433092160
1980,"gpp","historical","r5i1p1f1","INM-CM5-0","g yr-1",152642028905580544
1980,"gpp","historical","r5i1p1f1","IPSL-CM6A-LR","g yr-1",113299781777149072
1980,"gpp","historical","r5i1p1f1","MPI-ESM1-2-LR","g yr-1",129742629939212352
1980,"gpp","historical","r5i1p1f1","NorCPM1","g yr-1",85014138267492896
1980,"gpp","historical","r5i1p1f2","CNRM-CM6-1","g yr-1",123262288877677024
1980,"gpp","historical","r5i1p1f2","CNRM-ESM2-1","g yr-1",98816788497488976
1980,"gpp","historical","r6i1p1f1","CESM2","g yr-1",106554878366484576
1980,"gpp","historical","r6i1p1f1","INM-CM5-0","g yr-1",151173598258594336
1980,"gpp","historical","r6i1p1f1","IPSL-CM6A-LR","g yr-1",112655366639030352
1980,"gpp","historical","r6i1p1f1","MPI-ESM1-2-LR","g yr-1",134630577851232160
1980,"gpp","historical","r6i1p1f1","NorCPM1","g yr-1",84251039528855248
1980,"gpp","historical","r6i1p1f2","CNRM-CM6-1","g yr-1",121010507592235232
1980,"gpp","historical","r7i1p1f1","CESM2","g yr-1",106040491020243008
1980,"gpp","historical","r7i1p1f1","INM-CM5-0","g yr-1",151480850404268960
1980,"gpp","historical","r7i1p1f1","IPSL-CM6A-LR","g yr-1",112787622780684784
1980,"gpp","historical","r7i1p1f1","MPI-ESM1-2-LR","g yr-1",136629634479330464
1980,"gpp","historical","r7i1p1f1","NorCPM1","g yr-1",85017780146685728
1980,"gpp","historical","r7i1p1f2","CNRM-CM6-1","g yr-1",117318004303176352
1980,"gpp","historical","r8i1p1f1","CESM2","g yr-1",107081810632936112
1980,"gpp","historical","r8i1p1f1","INM-CM5-0","g yr-1",149089107796253056
1980,"gpp","historical","r8i1p1f1","IPSL-CM6A-LR","g yr-1",114046749758280064
1980,"gpp","historical","r8i1p1f1","MPI-ESM1-2-LR","g yr-1",135185365152658032
1980,"gpp","historical","r8i1p1f1","NorCPM1","g yr-1",83158924710186704
1980,"gpp","historical","r8i1p1f2","CNRM-CM6-1","g yr-1",122417081463553104
1980,"gpp","historical","r8i1p1f2","CNRM-ESM2-1","g yr-1",98131602456929056
1980,"gpp","historical","r9i1p1f1","CESM2","g yr-1",103954589934207824
1980,"gpp","historical","r9i1p1f1","INM-CM5-0","g yr-1",153714686854866496
1980,"gpp","historical","r9i1p1f1","IPSL-CM6A-LR","g yr-1",111984937051547824
1980,"gpp","historical","r9i1p1f1","MPI-ESM1-2-LR","g yr-1",131757053614512192
1980,"gpp","historical","r9i1p1f1","NorCPM1","g yr-1",83821337232944480
1980,"gpp","historical","r9i1p1f2","CNRM-CM6-1","g yr-1",118135530664672416
1980,"gpp","historical","r9i1p1f2","CNRM-ESM2-1","g yr-1",99700878728626816
1981,"gpp","historical","r10i1p1f1","CESM2","g yr-1",106096391991115984
1981,"gpp","historical","r10i1p1f1","INM-CM5-0","g yr-1",150121895016278720
1981,"gpp","historical","r10i1p1f1","IPSL-CM6A-LR","g yr-1",113646284128565712
1981,"gpp","historical","r10i1p1f1","MPI-ESM1-2-LR","g yr-1",132955480527967376
1981,"gpp","historical","r10i1p1f1","NorCPM1","g yr-1",84805362878711952
