"year","variable","experiment","ensemble","model","units","value"
1980,"npp","historical","r10i1p1f1","CESM2","g yr-1",42299715405455912
1980,"npp","historical","r10i1p1f1","INM-CM5-0","g yr-1",72572951598922880
1980,"npp","historical","r10i1p1f1","IPSL-CM6A-LR","g yr-1",48400144469845960
1980,"npp","historical","r10i1p1f1","MPI-ESM1-2-LR","g yr-1",65335309093911400
1980,"npp","historical","r10i1p1f1","NorCPM1","g yr-1",31323243876153020
1980,"npp","historical","r10i1p1f2","CNRM-CM6-1","g yr-1",27556464439044916
1980,"npp","historical","r10i1p1f2","CNRM-ESM2-1","g yr-1",46804186588411528
1980,"npp","historical","r11i1p1f1","CESM2","g yr-1",44181918041704392
1980,"npp","historical","r11i1p1f1","IPSL-CM6A-LR","g yr-1",47407003148820832
1980,"npp","historical","r11i1p1f1","NorCPM1","g yr-1",31624038644084836
1980,"npp","historical","r11i1p1f2","CNRM-CM6-1","g yr-1",27579203082346476
1980,"npp","historical","r12i1p1f1","IPSL-CM6A-LR","g yr-1",46667948902061264
1980,"npp","historical","r12i1p1f1","NorCPM1","g yr-1",32306216811388288
1980,"npp","historical","r12i1p1f2","CNRM-CM6-1","g yr-1",28038220684866800
1980,"npp","historical","r13i1p1f1","IPSL-CM6A-LR","g yr-1",49224183022881360
1980,"npp","historical","r13i1p1f1","NorCPM1","g yr-1",30106854435640172
1980,"npp","historical","r13i1p1f2","CNRM-CM6-1","g yr-1",28628105527229396
1980,"npp","historical","r14i1p1f1","IPSL-CM6A-LR","g yr-1",47738559196239048
1980,"npp","historical","r14i1p1f1","NorCPM1","g yr-1",30773348655845364
1980,"npp","historical","r14i1p1f2","CNRM-CM6-1","g yr-1",28169051241575832
1980,"npp","historical","r15i1p1f1","IPSL-CM6A-LR","g yr-1",47914293952985488
1980,"npp","historical","r15i1p1f1","NorCPM1","g yr-1",29035787578252856
1980,"npp","historical","r15i1p1f2","CNRM-CM6-1","g yr-1",28006152039751860
1980,"npp","historical","r16i1p1f1","IPSL-CM6A-LR","g yr-1",48765940489608008
1980,"npp","historical","r16i1p1f1","NorCPM1","g yr-1",30739827719623920
1980,"npp","historical","r16i1p1f2","CNRM-CM6-1","g yr-1",28239239979624476
1980,"npp","historical","r17i1p1f1","IPSL-CM6A-LR","g yr-1",46523413304512104
1980,"npp","historical","r17i1p1f1","NorCPM1","g yr-1",29999295600324860
