"year","variable","experiment","ensemble","model","units","value"
1980,"rh","historical","r10i1p1f1","CESM2","g yr-1",38221546066883056
1980,"rh","historical","r10i1p1f1","IPSL-CM6A-LR","g yr-1",43210758373190824
1980,"rh","historical","r10i1p1f1","MPI-ESM1-2-LR","g yr-1",62689911351138328
1980,"rh","historical","r10i1p1f1","NorCPM1","g yr-1",29277602332120388
1980,"rh","historical","r10i1p1f2","CNRM-CM6-1","g yr-1",47683808386123344
1980,"rh","historical","r10i1p1f2","CNRM-ESM2-1","g yr-1",41366878991541120
1980,"rh","historical","r11i1p1f1","CESM2","g yr-1",39075405800715640
1980,"rh","historical","r11i1p1f1","IPSL-CM6A-LR","g yr-1",41871085528986880
1980,"rh","historical","r11i1p1f1","NorCPM1","g yr-1",29202835999122960
1980,"rh","historical","r11i1p1f2","CNRM-CM6-1","g yr-1",46512315125320496
1980,"rh","historical","r12i1p1f1","IPSL-CM6A-LR","g yr-1",42564235060881504
1980,"rh","historical","r12i1p1f1","NorCPM1","g yr-1",28234726989855084
1980,"rh","historical","r12i1p1f2","CNRM-CM6-1","g yr-1",48275104670365048
1980,"rh","historical","r13i1p1f1","IPSL-CM6A-LR","g yr-1",42762743864417184
1980,"rh","historical","r13i1p1f1","NorCPM1","g yr-1",30050435289416116
1980,"rh","historical","r13i1p1f2","CNRM-CM6-1","g yr-1",47256474153865808
1980,"rh","historical","r14i1p1f1","IPSL-CM6A-LR","g yr-1",42255584659663864
1980,"rh","historical","r14i1p1f1","NorCPM1","g yr-1",29677496795219364
1980,"rh","historical","r14i1p1f2","CNRM-CM6-1","g yr-1",47048911452456192
1980,"rh","historical","r15i1p1f1","IPSL-CM6A-LR","g yr-1",42793412136708896
1980,"rh","historical","r15i1p1f1","NorCPM1","g yr-1",29946157090302484
1980,"rh","historical","r15i1p1f2","CNRM-CM6-1","g yr-1",46636614796038064
1980,"rh","historical","r16i1p1f1","IPSL-CM6A-LR","g yr-1",42553652271449672
