"Study_number","Site_ID","Meas_Year","Meas_Month","Meas_DOY","Rs_Norm","Rh_Norm","Ra_Norm","HC","RC","Tsoil","TsDepth","TsMethod","SWC","SWCDepth","SWCType","SWCComment","Meas_Month2","Study_midyear","Latitude","Longitude","Elevation","Manipulation","Biome","Ecosystem_type","Leaf_habit","Soil_type","Soil_BD","Soil_CN","Soil_sand","Soil_silt","Soil_clay","MAT","MAP","PET","Study_temp","Study_precip","Meas_method","Collar_height","Collar_depth","Chamber_area","Time_of_day","Meas_interval","Annual_coverage","Partition_method","Rs_annual","Ra_annual","Rh_annual","RC_annual","C_soilmineral"
17,"GB-ROT",1961,1,6,0.6,0.46,0.14,NA,NA,NA,NA,"",NA,NA,"","",1,1962,51.81,-0.36,NA,"None","Temperate","Agriculture","Deciduous","",NA,NA,NA,NA,NA,10,687,NA,NA,NA,"Soda lime",NA,NA,400,"",4.5,1,"Comparison",400,194,206,0.49,15400
17,"GB-ROT",1961,1,21,0.54,0.41,0.13,NA,NA,NA,NA,"",NA,NA,"","",1,1962,51.81,-0.36,NA,"None","Temperate","Agriculture","Deciduous","",NA,NA,NA,NA,NA,10,687,NA,NA,NA,"Soda lime",NA,NA,400,"",4.5,1,"Comparison",400,194,206,0.49,15400
17,"GB-ROT",1961,2,40,1.13,0.86,0.27,NA,NA,NA,NA,"",NA,NA,"","",2,1962,51.81,-0.36,NA,"None","Temperate","Agriculture","Deciduous","",NA,NA,NA,NA,NA,10,687,NA,NA,NA,"Soda lime",NA,NA,400,"",4.5,1,"Comparison",400,194,206,0.49,15400
17,"GB-ROT",1961,2,51,0.82,0.62,0.2,NA,NA,NA,NA,"",NA,NA,"","",2,1962,51.81,-0.36,NA,"None","Temperate","Agriculture","Deciduous","",NA,NA,NA,NA,NA,10,687,NA,NA,NA,"Soda lime",NA,NA,400,"",4.5,1,"Comparison",400,194,206,0.49,15400
17,"GB-ROT",1961,3,68,1.57,1.2,0.37,NA,NA,NA,NA,"",NA,NA,"","",3,1962,51.81,-0.36,NA,"None","Temperate","Agriculture","Deciduous","",NA,NA,NA,NA,NA,10,687,NA,NA,NA,"Soda lime",NA,NA,400,"",4.5,1,"Comparison",400,194,206,0.49,15400
17,"GB-ROT",1961,3,83,1.86,1.42,0.44,NA,NA,NA,NA,"",NA,NA,"","",3,1962,51.81,-0.36,NA,"None","Temperate","Agriculture","Deciduous","",NA,NA,NA,NA,NA,10,687,NA,NA,NA,"Soda lime",NA,NA,400,"",4.5,1,"Comparison",400,194,206,0.49,15400
17,"GB-ROT",1961,4,98,1.39,1.06,0.33,NA,NA,NA,NA,"",NA,NA,"","",4,1962,51.81,-0.36,NA,"None","Temperate","Agriculture","Deciduous","",NA,NA,NA,NA,NA,10,687,NA,NA,NA,"Soda lime",NA,NA,400,"",4.5,1,"Comparison",400,194,206,0.49,15400
17,"GB-ROT",1961,4,113,1.61,1.23,0.38,NA,NA,NA,NA,"",NA,NA,"","",4,1962,51.81,-0.36,NA,"None","Temperate","Agriculture","Deciduous","",NA,NA,NA,NA,NA,10,687,NA,NA,NA,"Soda lime",NA,NA,400,"",4.5,1,"Comparison",400,194,206,0.49,15400
17,"GB-ROT",1961,5,129,1.58,1.23,0.35,0.78,0.219,NA,NA,"",NA,NA,"","",5,1962,51.81,-0.36,NA,"None","Temperate","Agriculture","Deciduous","",NA,NA,NA,NA,NA,10,687,NA,NA,NA,"Soda lime",NA,NA,400,"",4.5,1,"Comparison",400,194,206,0.49,15400
17,"GB-ROT",1961,6,176,2.35,1.9,0.45,0.808,0.191,NA,NA,"",NA,NA,"","",6,1962,51.81,-0.36,NA,"None","Temperate","Agriculture","Deciduous","",NA,NA,NA,NA,NA,10,687,NA,NA,NA,"Soda lime",NA,NA,400,"",4.5,1,"Comparison",400,194,206,0.49,15400
17,"GB-ROT",1961,7,191,2.11,1.55,0.56,0.733,0.266,NA,NA,"",NA,NA,"","",7,1962,51.81,-0.36,NA,"None","Temperate","Agriculture","Deciduous","",NA,NA,NA,NA,NA,10,687,NA,NA,NA,"Soda lime",NA,NA,400,"",4.5,1,"Comparison",400,194,206,0.49,15400
17,"GB-ROT",1961,7,206,2.13,1.71,0.42,0.802,0.197,NA,NA,"",NA,NA,"","",7,1962,51.81,-0.36,NA,"None","Temperate","Agriculture","Deciduous","",NA,NA,NA,NA,NA,10,687,NA,NA,NA,"Soda lime",NA,NA,400,"",4.5,1,"Comparison",400,194,206,0.49,15400
17,"GB-ROT",1961,8,223,2.47,1.81,0.66,0.734,0.265,NA,NA,"",NA,NA,"","",8,1962,51.81,-0.36,NA,"None","Temperate","Agriculture","Deciduous","",NA,NA,NA,NA,NA,10,687,NA,NA,NA,"Soda lime",NA,NA,400,"",4.5,1,"Comparison",400,194,206,0.49,15400
17,"GB-ROT",1961,8,239,2.13,1.87,0.26,0.876,0.123,NA,NA,"",NA,NA,"","",8,1962,51.81,-0.36,NA,"None","Temperate","Agriculture","Deciduous","",NA,NA,NA,NA,NA,10,687,NA,NA,NA,"Soda lime",NA,NA,400,"",4.5,1,"Comparison",400,194,206,0.49,15400
17,"GB-ROT",1961,9,255,1.87,1.15,0.73,0.611,0.388,NA,NA,"",NA,NA,"","",9,1962,51.81,-0.36,NA,"None","Temperate","Agriculture","Deciduous","",NA,NA,NA,NA,NA,10,687,NA,NA,NA,"Soda lime",NA,NA,400,"",4.5,1,"Comparison",400,194,206,0.49,15400
17,"GB-ROT",1961,9,267,1.24,0.95,0.29,NA,NA,NA,NA,"",NA,NA,"","",9,1962,51.81,-0.36,NA,"None","Temperate","Agriculture","Deciduous","",NA,NA,NA,NA,NA,10,687,NA,NA,NA,"Soda lime",NA,NA,400,"",4.5,1,"Comparison",400,194,206,0.49,15400
17,"GB-ROT",1961,10,280,1.42,1.08,0.34,NA,NA,NA,NA,"",NA,NA,"","",10,1962,51.81,-0.36,NA,"None","Temperate","Agriculture","Deciduous","",NA,NA,NA,NA,NA,10,687,NA,NA,NA,"Soda lime",NA,NA,400,"",4.5,1,"Comparison",400,194,206,0.49,15400
17,"GB-ROT",1961,10,295,0.62,0.48,0.14,NA,NA,NA,NA,"",NA,NA,"","",10,1962,51.81,-0.36,NA,"None","Temperate","Agriculture","Deciduous","",NA,NA,NA,NA,NA,10,687,NA,NA,NA,"Soda lime",NA,NA,400,"",4.5,1,"Comparison",400,194,206,0.49,15400
17,"GB-ROT",1961,11,312,0.56,0.43,0.13,NA,NA,NA,NA,"",NA,NA,"","",11,1962,51.81,-0.36,NA,"None","Temperate","Agriculture","Deciduous","",NA,NA,NA,NA,NA,10,687,NA,NA,NA,"Soda lime",NA,NA,400,"",4.5,1,"Comparison",400,194,206,0.49,15400
17,"GB-ROT",1961,11,327,0.44,0.33,0.11,NA,NA,NA,NA,"",NA,NA,"","",11,1962,51.81,-0.36,NA,"None","Temperate","Agriculture","Deciduous","",NA,NA,NA,NA,NA,10,687,NA,NA,NA,"Soda lime",NA,NA,400,"",4.5,1,"Comparison",400,194,206,0.49,15400
17,"GB-ROT",1961,12,342,0.58,0.44,0.14,NA,NA,NA,NA,"",NA,NA,"","",12,1962,51.81,-0.36,NA,"None","Temperate","Agriculture","Deciduous","",NA,NA,NA,NA,NA,10,687,NA,NA,NA,"Soda lime",NA,NA,400,"",4.5,1,"Comparison",400,194,206,0.49,15400
17,"GB-ROT",1961,12,356,0.59,0.45,0.14,NA,NA,NA,NA,"",NA,NA,"","",12,1962,51.81,-0.36,NA,"None","Temperate","Agriculture","Deciduous","",NA,NA,NA,NA,NA,10,687,NA,NA,NA,"Soda lime",NA,NA,400,"",4.5,1,"Comparison",400,194,206,0.49,15400
148,"US-TOR",1974,1,10,0.53,0.24,0.29,0.452,0.547,NA,NA,"",NA,NA,"","",1,1977,35.99,-84.29,NA,"None","Temperate","Forest","Deciduous","Emory cherty silt loam",NA,NA,NA,NA,NA,13.3,1265,NA,NA,NA,"IRGA",NA,NA,NA,"",14,1,"Extraction",1065,373,692,0.35,12850
148,"US-TOR",1974,1,25,0.42,0.19,0.23,0.449,0.55,NA,NA,"",NA,NA,"","",1,1977,35.99,-84.29,NA,"None","Temperate","Forest","Deciduous","Emory cherty silt loam",NA,NA,NA,NA,NA,13.3,1265,NA,NA,NA,"IRGA",NA,NA,NA,"",14,1,"Extraction",1065,373,692,0.35,12850
148,"US-TOR",1974,2,37,0.39,0.21,0.18,0.546,0.453,NA,NA,"",NA,NA,"","",2,1977,35.99,-84.29,NA,"None","Temperate","Forest","Deciduous","Emory cherty silt loam",NA,NA,NA,NA,NA,13.3,1265,NA,NA,NA,"IRGA",NA,NA,NA,"",14,1,"Extraction",1065,373,692,0.35,12850
148,"US-TOR",1974,2,52,0.49,0.31,0.18,0.625,0.374,NA,NA,"",NA,NA,"","",2,1977,35.99,-84.29,NA,"None","Temperate","Forest","Deciduous","Emory cherty silt loam",NA,NA,NA,NA,NA,13.3,1265,NA,NA,NA,"IRGA",NA,NA,NA,"",14,1,"Extraction",1065,373,692,0.35,12850
148,"US-TOR",1974,3,69,0.42,0.17,0.25,0.406,0.593,NA,NA,"",NA,NA,"","",3,1977,35.99,-84.29,NA,"None","Temperate","Forest","Deciduous","Emory cherty silt loam",NA,NA,NA,NA,NA,13.3,1265,NA,NA,NA,"IRGA",NA,NA,NA,"",14,1,"Extraction",1065,373,692,0.35,12850
148,"US-TOR",1974,3,86,0.52,0.2,0.32,0.379,0.62,NA,NA,"",NA,NA,"","",3,1977,35.99,-84.29,NA,"None","Temperate","Forest","Deciduous","Emory cherty silt loam",NA,NA,NA,NA,NA,13.3,1265,NA,NA,NA,"IRGA",NA,NA,NA,"",14,1,"Extraction",1065,373,692,0.35,12850
148,"US-TOR",1974,4,101,1.15,0.68,0.47,0.594,0.405,NA,NA,"",NA,NA,"","",4,1977,35.99,-84.29,NA,"None","Temperate","Forest","Deciduous","Emory cherty silt loam",NA,NA,NA,NA,NA,13.3,1265,NA,NA,NA,"IRGA",NA,NA,NA,"",14,1,"Extraction",1065,373,692,0.35,12850
148,"US-TOR",1974,5,124,1.3,0.83,0.47,0.637,0.362,NA,NA,"",NA,NA,"","",5,1977,35.99,-84.29,NA,"None","Temperate","Forest","Deciduous","Emory cherty silt loam",NA,NA,NA,NA,NA,13.3,1265,NA,NA,NA,"IRGA",NA,NA,NA,"",14,1,"Extraction",1065,373,692,0.35,12850
148,"US-TOR",1974,5,136,4.51,4.04,0.47,0.895,0.104,NA,NA,"",NA,NA,"","",5,1977,35.99,-84.29,NA,"None","Temperate","Forest","Deciduous","Emory cherty silt loam",NA,NA,NA,NA,NA,13.3,1265,NA,NA,NA,"IRGA",NA,NA,NA,"",14,1,"Extraction",1065,373,692,0.35,12850
148,"US-TOR",1974,6,157,5.01,4.36,0.65,0.871,0.128,NA,NA,"",NA,NA,"","",6,1977,35.99,-84.29,NA,"None","Temperate","Forest","Deciduous","Emory cherty silt loam",NA,NA,NA,NA,NA,13.3,1265,NA,NA,NA,"IRGA",NA,NA,NA,"",14,1,"Extraction",1065,373,692,0.35,12850
148,"US-TOR",1974,6,173,4.42,3.64,0.79,0.822,0.177,NA,NA,"",NA,NA,"","",6,1977,35.99,-84.29,NA,"None","Temperate","Forest","Deciduous","Emory cherty silt loam",NA,NA,NA,NA,NA,13.3,1265,NA,NA,NA,"IRGA",NA,NA,NA,"",14,1,"Extraction",1065,373,692,0.35,12850
148,"US-TOR",1974,7,189,3.63,2.78,0.86,0.764,0.235,NA,NA,"",NA,NA,"","",7,1977,35.99,-84.29,NA,"None","Temperate","Forest","Deciduous","Emory cherty silt loam",NA,NA,NA,NA,NA,13.3,1265,NA,NA,NA,"IRGA",NA,NA,NA,"",14,1,"Extraction",1065,373,692,0.35,12850
148,"US-TOR",1974,7,206,5.22,4.26,0.96,0.815,0.184,NA,NA,"",NA,NA,"","",7,1977,35.99,-84.29,NA,"None","Temperate","Forest","Deciduous","Emory cherty silt loam",NA,NA,NA,NA,NA,13.3,1265,NA,NA,NA,"IRGA",NA,NA,NA,"",14,1,"Extraction",1065,373,692,0.35,12850
148,"US-TOR",1974,8,227,6.17,5.07,1.11,0.821,0.178,NA,NA,"",NA,NA,"","",8,1977,35.99,-84.29,NA,"None","Temperate","Forest","Deciduous","Emory cherty silt loam",NA,NA,NA,NA,NA,13.3,1265,NA,NA,NA,"IRGA",NA,NA,NA,"",14,1,"Extraction",1065,373,692,0.35,12850
148,"US-TOR",1974,9,250,6.77,5.72,1.05,0.845,0.154,NA,NA,"",NA,NA,"","",9,1977,35.99,-84.29,NA,"None","Temperate","Forest","Deciduous","Emory cherty silt loam",NA,NA,NA,NA,NA,13.3,1265,NA,NA,NA,"IRGA",NA,NA,NA,"",14,1,"Extraction",1065,373,692,0.35,12850
148,"US-TOR",1974,9,266,4.86,3.88,0.97,0.8,0.199,NA,NA,"",NA,NA,"","",9,1977,35.99,-84.29,NA,"None","Temperate","Forest","Deciduous","Emory cherty silt loam",NA,NA,NA,NA,NA,13.3,1265,NA,NA,NA,"IRGA",NA,NA,NA,"",14,1,"Extraction",1065,373,692,0.35,12850
148,"US-TOR",1974,10,280,2.56,1.68,0.88,0.657,0.342,NA,NA,"",NA,NA,"","",10,1977,35.99,-84.29,NA,"None","Temperate","Forest","Deciduous","Emory cherty silt loam",NA,NA,NA,NA,NA,13.3,1265,NA,NA,NA,"IRGA",NA,NA,NA,"",14,1,"Extraction",1065,373,692,0.35,12850
148,"US-TOR",1974,10,294,2.58,1.79,0.79,0.694,0.305,NA,NA,"",NA,NA,"","",10,1977,35.99,-84.29,NA,"None","Temperate","Forest","Deciduous","Emory cherty silt loam",NA,NA,NA,NA,NA,13.3,1265,NA,NA,NA,"IRGA",NA,NA,NA,"",14,1,"Extraction",1065,373,692,0.35,12850
148,"US-TOR",1974,11,319,1.34,0.76,0.58,0.569,0.43,NA,NA,"",NA,NA,"","",11,1977,35.99,-84.29,NA,"None","Temperate","Forest","Deciduous","Emory cherty silt loam",NA,NA,NA,NA,NA,13.3,1265,NA,NA,NA,"IRGA",NA,NA,NA,"",14,1,"Extraction",1065,373,692,0.35,12850
