Lat,GPP_mean,NPP_mean
89.975,NaN,NaN
89.925,NaN,NaN
89.875,NaN,NaN
89.825,NaN,NaN
89.775,NaN,NaN
89.725,NaN,NaN
89.675,NaN,NaN
89.625,NaN,NaN
89.575,NaN,NaN
89.525,NaN,NaN
89.475,NaN,NaN
89.425,NaN,NaN
89.375,NaN,NaN
89.325,NaN,NaN
89.275,NaN,NaN
89.225,NaN,NaN
89.175,NaN,NaN
89.125,NaN,NaN
89.075,NaN,NaN
89.025,NaN,NaN
88.975,NaN,NaN
88.925,NaN,NaN
88.875,NaN,NaN
88.825,NaN,NaN
88.775,NaN,NaN
88.725,NaN,NaN
88.675,NaN,NaN
88.625,NaN,NaN
88.575,NaN,NaN
88.525,NaN,NaN
88.475,NaN,NaN
88.425,NaN,NaN
88.375,NaN,NaN
88.325,NaN,NaN
88.275,NaN,NaN
88.225,NaN,NaN
88.175,NaN,NaN
88.125,NaN,NaN
88.075,NaN,NaN
88.025,NaN,NaN
87.975,NaN,NaN
87.925,NaN,NaN
87.875,NaN,NaN
87.825,NaN,NaN
87.775,NaN,NaN
87.725,NaN,NaN
87.675,NaN,NaN
87.625,NaN,NaN
87.575,NaN,NaN
87.525,NaN,NaN
87.475,NaN,NaN
87.425,NaN,NaN
87.375,NaN,NaN
87.325,NaN,NaN
87.275,NaN,NaN
87.225,NaN,NaN
87.175,NaN,NaN
87.125,NaN,NaN
87.075,NaN,NaN
87.025,NaN,NaN
86.975,NaN,NaN
86.925,NaN,NaN
86.875,NaN,NaN
86.825,NaN,NaN
86.775,NaN,NaN
86.725,NaN,NaN
86.675,NaN,NaN
86.625,NaN,NaN
86.575,NaN,NaN
86.525,NaN,NaN
86.475,NaN,NaN
86.425,NaN,NaN
86.375,NaN,NaN
86.325,NaN,NaN
86.275,NaN,NaN
86.225,NaN,NaN
86.175,NaN,NaN
86.125,NaN,NaN
86.075,NaN,NaN
86.025,NaN,NaN
85.975,NaN,NaN
85.925,NaN,NaN
85.875,NaN,NaN
85.825,NaN,NaN
85.775,NaN,NaN
85.725,NaN,NaN
85.675,NaN,NaN
85.625,NaN,NaN
85.575,NaN,NaN
85.525,NaN,NaN
85.475,NaN,NaN
85.425,NaN,NaN
85.375,NaN,NaN
85.325,NaN,NaN
85.275,NaN,NaN
85.225,NaN,NaN
85.175,NaN,NaN
85.125,NaN,NaN
85.075,NaN,NaN
85.025,NaN,NaN
84.975,NaN,NaN
84.925,NaN,NaN
84.875,NaN,NaN
84.825,NaN,NaN
84.775,NaN,NaN
84.725,NaN,NaN
84.675,NaN,NaN
84.625,NaN,NaN
84.575,NaN,NaN
84.525,NaN,NaN
84.475,NaN,NaN
84.425,NaN,NaN
84.375,NaN,NaN
84.325,NaN,NaN
84.275,NaN,NaN
84.225,NaN,NaN
84.175,NaN,NaN
84.125,NaN,NaN
84.075,NaN,NaN
84.025,NaN,NaN
83.975,NaN,NaN
83.925,NaN,NaN
83.875,NaN,NaN
83.825,NaN,NaN
83.775,NaN,NaN
83.725,NaN,NaN
83.675,NaN,NaN
83.625,0,0
83.575,0.011359,0.0082782
83.525,0.012398,0.0079938
83.475,0.0034775,0.0026637
83.425,0,0
83.375,0.0029445,0.0018617
83.325,0.004034,0.0030512
83.275,0.0020771,0.0015901
83.225,0.0037051,0.0024952
83.175,0.0022833,0.0015724
83.125,0.010269,0.0061447
83.075,0.0096465,0.0063762
83.025,0.015933,0.01218
82.975,0.015442,0.012415
82.925,0.014901,0.011849
82.875,0.014338,0.01162
82.825,0.013315,0.010749
82.775,0.012254,0.010301
82.725,0.01302,0.010872
